Host 1,Title (copy for cal),Description,Location
Emanuele Ascani,AI Safety Small-Group,,E - Floor 2 (Side Sessions)
,Speedfriending event #1,,B - Ground floor
,Speedfriending event #3,,B - Ground floor
,Speedfriending event #2,,B - Ground floor
Robin Hanson,Robin Hanson Office Hours,,E - Floor 2 (Side Sessions)
"Tom Shlomi,Saul Munn",Optic Panel,,E - Floor 2 (Side Sessions)
,Saturday Dinner,,Telegraph Area
,Sunday Dinner,,Telegraph Area
,Saturday Lunch,,Telegraph Area
,Sunday Lunch,,Telegraph Area
,VIP Dinner,,Ethiopia Restaurant
Arjun Panickssery,Mafia with Markets,,E - Floor 2 (Side Sessions)
"Tom Shlomi,Saul Munn",How to start a forecasting club fireside chat (same/adjacent room to student speed networking),,E - Floor 2 (Side Sessions)
,Friday Dinner,,Telegraph Area
David Chee,Poker: Satellite Table #1 ,,A - Board Gaming
David Chee,Poker: Satellite Table #2,,A - Board Gaming
David Chee,Poker: Satellite Table #3,,A - Board Gaming
Saul Munn,Student speed networking,,B - Ground floor
Sinclair Chen,Lightning Talks!,Should throw in a bunch of backjacks,B - Ground floor
Daniel Reeves,Prediction Markets as Commitment Devices,,E - Floor 2 (Side Sessions)
Ezra Brodey,Subsidize Real Money Prediction Markets on High Impact Topics,How do we create real-money prediction markets on high impact topics? This talk will explore how to take high impact questions found and on platforms such as Metaculus and GJOpen and make them into viable real-money markets. ,B - Attic
Daniel Filan,Prediction markets = bounded rationality?!?,"Here's a style of question which has long intrigued AI scientists: What's the best way to make decisions when your brain is too tiny to run the best algorithm to make decisions? Similarly: given that you know the definition of pi, is it rational to take a 60-40 bet that the 180,023rd digit is odd (assuming the person offering you the bet hasn't computed it yet, but also knows the definition of pi)?

In this talk, I'll talk about two papers that try to get a grip on the problem of bounded rationality: ""Logical Induction"", by Garrabrant et al, and ""A Theory of Bounded Inductive Rationality"" by Oesterheld et al. I'll explain what these papers are trying to do, how they compare to other attempts to do the same thing, and how the use of prediction markets is key to each paper.",B - Attic
Douglas Campbell,Replicating Academia,,B - Attic
"Molly Hickman,Rajashree Agrawal",Good Question Tournament,"What's in your model? Compete to come up with the goodest, most informative questions. In this tournament, we'll introduce Value of Information scoring. Participants will generate questions related to an ultimate question, forecast on each other's questions, and we will reveal the most valuable questions. There will be prizes.",B - Attic
Adrian Marple,Cornhole RPG,"Cornhole RPG is like cornhole only instead of throwing standard cornhole bags, you throw beanie babies. Each beanie baby represents a class which dictates how you have to throw and what abilities you activate. Play cooperatively as a team of 3-6 to complete increasingly difficult quests and see how far you can get!",The Gardens
Max Chiswick,Learn Poker,,A - Board Gaming
